category,name,unit,precision,compartment,substance
Physiology,HeartRate,1/min,,,
Physiology,HeartStrokeVolume,mL,,,
Physiology,BloodVolume,L,2,,
Physiology,ArterialPressure,mmHg,1,,
Physiology,MeanArterialPressure,mmHg,,,
Physiology,SystolicArterialPressure,mmHg,0,,
Physiology,DiastolicArterialPressure,mmHg,1,,
Physiology,CardiacOutput,L/min,2,,
Physiology,HemoglobinContent,g,,,
Physiology,CentralVenousPressure,mmHg,2,,
Physiology,PulmonaryCapillariesWedgePressure,mmHg,2,,
Physiology,SystemicVascularResistance,mmHg s/mL,3,,
Physiology,ExtravascularFluidVolume,L,1,,
Physiology,TidalVolume,mL,3,,
Physiology,TotalLungVolume,L,2,,
Physiology,RespirationRate,1/min,,,
Physiology,OxygenSaturation,unitless,3,,
Physiology,CarbonDioxideSaturation,unitless,3,,
Physiology,EndTidalCarbonDioxideFraction,unitless,4,,
Physiology,TotalAlveolarVentilation,L/min,2,,
Physiology,TranspulmonaryPressure,cmH2O,2,,
Physiology,CoreTemperature,degC,1,,
Physiology,SkinTemperature,degC,1,,
Physiology,RespiratoryExchangeRatio,unitless,3,,
Physiology,OxygenConsumptionRate,mL/min,3,,
Physiology,CarbonDioxideProductionRate,mL/min,3,,
Physiology,GlomerularFiltrationRate,mL/min,0,,
Physiology,RenalBloodFlow,L/min,2,,
Physiology,UrineProductionRate,mL/min,3,,
Physiology,ArterialBloodPH,unitless,2,,
Physiology,RightAfferentArterioleResistance,mmHg min/mL,4,,
GasCompartment,Pressure,cmH2O,2,LeftAlveoli,
GasCompartment,Oxygen,mmHg,2,LeftAlveoli,
GasCompartment,CarbonDioxide,mmHg,2,LeftAlveoli,
GasCompartment,Pressure,cmH2O,2,RightAlveoli,
GasCompartment,Oxygen,mmHg,2,RightAlveoli,
GasCompartment,CarbonDioxide,mmHg,2,RightAlveoli,
GasCompartment,Oxygen,cmH2O,2,Trachea,
GasCompartment,CarbonDioxide,cmH2O,2,Trachea,
LiquidCompartment,Oxygen,mmHg,2,Aorta,
LiquidCompartment,CarbonDioxide,mmHg,2,Aorta,
LiquidCompartment,Oxygen,mmHg,2,VenaCava,
LiquidCompartment,CarbonDioxide,mmHg,2,VenaCava,
LiquidCompartment,Sodium,g/L,2,RightTubules,
LiquidCompartment,Sodium,g/L,2,LeftTubules,
Substance,AlveolarTransfer,mL/s,2,,Oxygen
Substance,AlveolarTransfer,mL/s,2,,CarbonDioxide
Substance,BloodConcentration,ug/L,6,,Epinephrine
Physiology,LiverGlycogen,g,2,,
Physiology,MuscleGlycogen,g,2,,
LiquidCompartment,InFlow,mL/min,3,Aorta,
LiquidCompartment,OutFlow,mL/min,3,Aorta,
LiquidCompartment,InFlow,mL/min,3,Ground,
Substance,BloodConcentration,g/L,2,,Sodium
Substance,MassInBody,g,1,,Sodium
LiquidCompartment,Sodium,g/L,2,Bladder,
Substance,BloodConcentration,mg/dL,3,,Lactate
LiquidCompartment,Albumin,g/L,1,Aorta,
Physiology,StrongIonDifference,mmol/L,3,,
Physiology,UrineOsmolality,mOsm/kg,1,,
Physiology,UrineOsmolarity,mOsm/L,1,,
LiquidCompartment,Concentration,ug/L,6,VenaCava,TranexamicAcid
Substance,BloodConcentration,ug/L,6,,TranexamicAcid
Physiology,CardiacOutput,mL/min,,,
Substance,BloodConcentration,ug/mL,,,Epinephrine
Physiology,UrinationRate,mL/min,,,
Physiology,BloodVolume,mL,,,
Physiology,PulsePressure,mmHg,,,
LiquidCompartment,OutFlow,mL/min,3,RightLegVasculature,
LiquidCompartment,InFlow,mL/min,3,RightLegVasculature,
Substance,SystemicMassCleared,ug,2,,TranexamicAcid
Substance,MassInBody,ug,2,,TranexamicAcid
LiquidCompartment,MassCleared,ug,2,LiverTissueIntracellular,TranexamicAcid
LiquidCompartment,MassCleared,ug,2,LeftKidneyTissueIntracellular,TranexamicAcid
LiquidCompartment,MassCleared,ug,2,RightKidneyTissueIntracellular,TranexamicAcid
LiquidCompartment,MassExcreted,ug,2,LeftKidneyTissueIntracellular,TranexamicAcid
LiquidCompartment,MassExcreted,ug,2,RightKidneyTissueIntracellular,TranexamicAcid
LiquidCompartment,MassExcreted,ug,2,LiverTissueIntracellular,TranexamicAcid
