category,name,unit,precision,compartment,substance
Physiology,HeartRate,1/min,2,,
Physiology,HeartStrokeVolume,mL,1,,
Physiology,BloodVolume,L,2,,
Physiology,ArterialPressure,mmHg,1,,
Physiology,MeanArterialPressure,mmHg,1,,
Physiology,SystolicArterialPressure,mmHg,0,,
Physiology,DiastolicArterialPressure,mmHg,1,,
Physiology,CardiacOutput,L/min,2,,
Physiology,HemoglobinContent,g,0,,
Physiology,CentralVenousPressure,mmHg,2,,
Physiology,PulmonaryCapillariesWedgePressure,mmHg,2,,
Physiology,SystemicVascularResistance,mmHg s/mL,3,,
Physiology,ExtravascularFluidVolume,L,1,,
Physiology,TidalVolume,mL,3,,
Physiology,TotalLungVolume,L,2,,
Physiology,RespirationRate,1/min,2,,
Physiology,OxygenSaturation,unitless,3,,
Physiology,CarbonDioxideSaturation,unitless,3,,
Physiology,EndTidalCarbonDioxideFraction,unitless,4,,
Physiology,TotalAlveolarVentilation,L/min,2,,
Physiology,TranspulmonaryPressure,cmH2O,2,,
Physiology,CoreTemperature,degC,1,,
Physiology,SkinTemperature,degC,1,,
Physiology,RespiratoryExchangeRatio,unitless,3,,
Physiology,OxygenConsumptionRate,mL/min,3,,
Physiology,CarbonDioxideProductionRate,mL/min,3,,
Physiology,GlomerularFiltrationRate,mL/min,0,,
Physiology,RenalBloodFlow,L/min,2,,
Physiology,UrineProductionRate,mL/min,3,,
Physiology,ArterialBloodPH,unitless,2,,
Physiology,RightAfferentArterioleResistance,mmHg min/mL,4,,
GasCompartment,Pressure,cmH2O,0,LeftAlveoli,
GasCompartment,Oxygen,mmHg,2,LeftAlveoli,
GasCompartment,CarbonDioxide,mmHg,2,LeftAlveoli,
GasCompartment,Pressure,cmH2O,0,RightAlveoli,
GasCompartment,Oxygen,mmHg,2,RightAlveoli,
GasCompartment,CarbonDioxide,mmHg,2,RightAlveoli,
GasCompartment,Oxygen,cmH2O,2,Trachea,
GasCompartment,CarbonDioxide,cmH2O,2,Trachea,
LiquidCompartment,Oxygen,mmHg,2,Aorta,
LiquidCompartment,CarbonDioxide,mmHg,2,Aorta,
LiquidCompartment,Oxygen,mmHg,2,VenaCava,
LiquidCompartment,CarbonDioxide,mmHg,2,VenaCava,
LiquidCompartment,Sodium,g/L,2,RightTubules,
LiquidCompartment,Sodium,g/L,2,LeftTubules,
Substance,AlveolarTransfer,mL/s,2,,Oxygen
Substance,AlveolarTransfer,mL/s,2,,CarbonDioxide
Substance,BloodConcentration,ug/L,6,,Epinephrine
Physiology,LiverGlycogen,g,2,,
Physiology,MuscleGlycogen,g,2,,
Patient,Weight,kg,1,,
Physiology,ArterialBloodPH,,2,,
GasCompartment,PartialPressure,mmHg,0,LeftAlveoli,Oxygen
GasCompartment,PartialPressure,mmHg,1,LeftAlveoli,CarbonDioxide
GasCompartment,PartialPressure,mmHg,0,RightAlveoli,Oxygen
GasCompartment,PartialPressure,mmHg,1,RightAlveoli,CarbonDioxide
GasCompartment,PartialPressure,cmH2O,0,Trachea,Oxygen
GasCompartment,PartialPressure,cmH2O,1,Trachea,CarbonDioxide
LiquidCompartment,PartialPressure,mmHg,1,Aorta,Oxygen
LiquidCompartment,PartialPressure,mmHg,1,Aorta,CarbonDioxide
LiquidCompartment,PartialPressure,mmHg,1,VenaCava,Oxygen
LiquidCompartment,PartialPressure,mmHg,1,VenaCava,CarbonDioxide
LiquidCompartment,Concentration,g/L,2,RightTubules,Sodium
LiquidCompartment,Concentration,g/L,2,LeftTubules,Sodium
Physiology,Hematocrit,,3,,
Substance,BloodConcentration,g/dL,1,,Hemoglobin
